date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2014-01-19,3692,4143,1273796,307.457398020758,,,0,0.278528644921898,0.000545138888888889,,0,,0.628,,1814604,36500,,1814604,,1.95495424,,,,,,1814604,1152,1832,928207.91770697,,660.835007526316,,100,,1210649.73378821,,,,
2014-01-20,4522,765,1200463,1569.23267973856,,,0,3.60700577588951,0.000405673593275741,,0,,1.7375,,199092,3608.71650934401,,199092,,8.45208753,,,,,,2013696,4283,8543,238248.360904,,116.246631478797,,27.64764867,,993094.97272336,,,,
2014-01-21,2216,454,621350,1368.61233480176,,,0,4.74250147210016,0.000846506024096385,,0.001,,1.7565,,16710,300.390660784099,,16710,,79.00345155,,,,,,2030406,2075,4150,25700.21891584,,17.1320731096193,,6.441909185,,71098.10340492,,,,
2014-01-22,348,99,97245,982.272727272727,,,0,6.10650391352964,0.000839285714285714,,0.001,,0.235,,2079,37.3353308880508,,2079,,283.43658456,,,,,,2032485,280,559,7170.8632927,,16.4729491790698,,2.04277781,,9208.3785911,,,,
2014-01-23,349,79,80174,1014.86075949367,,,0,6.10650391352964,0.000731481481481482,,0.001,,0.158,,9234,165.077074759063,,9234,,166.38994144,,,,,,2041719,216,446,12270.68765275,,30.6485851899103,,5.86901657,,13669.2689947,,,,
2014-01-24,267,85,79580,936.235294117647,,,0,6.10650391352964,0.000417582417582418,,0,,0.076,,10370,184.448627715465,,10370,,152.34203091,,,,,,2052089,182,363,13470.27466929,,551.878685574904,,7.13356837,,200331.96286369,,,,
2014-01-25,340,72,100921,1401.68055555556,,,0,6.10650391352964,0.000355371900826446,,0,,0.086,,8784,155.572905268787,,8784,,113.29746697,,,,,,2060873,242,482,18189.93005891,,425.220525883216,,11.01748911,,204956.29347571,,,,
2014-01-26,308,64,80173,1252.703125,,,0,5.96338272805628,0.000673151750972763,,0.001,,0.173,,7830,138.151779158246,,7830,,176.30473788,,,,,,2068703,257,514,11733.6778631,,39.3303548081907,,15.117444115,,20215.80237141,,,,
2014-01-27,705,327,241366,738.122324159021,,,0,1.52662597838241,0.000481788079470199,,0,,0.291,,47088,812.325981157874,,47088,,57.47104977,,,,,,2115791,604,1208,36814.90086704,,53.3686762964321,,24.09265655,,64469.36096609,,,,
2014-01-28,1450,781,553686,708.944942381562,,,0,1.21723894486463,0.000436236391912908,,0,,0.561,,114063,1867.07268727011,,114063,,18.13246804,,,,,,2229854,1286,2565,122975.75792152,,70.3449349002963,,30.78628352,,180434.75801926,,,,
2014-01-29,988,428,338274,790.359813084112,,,0,1.76358072846055,0.000470383275261324,,0,,0.405,,61376,977.738594554017,,61376,,39.62927555,,,,,,2291230,861,1722,57816.60068276,,54.5166404163415,,28.764497385,,93877.65479694,,,,
2014-01-30,1779,859,676400,787.427240977881,,,0,1.63862435595725,0.000508884803921569,,0,,0.8305,,123921,1872.80898792663,,123921,,9.95152034,,,,,,2415151,1632,3263,242691.66087325,,94.1563118111676,,28.57114603,,307232.04543984,,,,
2014-01-31,980,345,311834,903.866666666667,,,0,3.16947263680842,0.000591647331786543,,0.001,,0.51,,46920,695.585139502476,,46920,,52.65728859,,,,,,2462071,862,1724,46756.50923022,,46.9951220541995,,22.826374725,,81019.59042144,,,,
2014-02-01,1170,558,419739,752.220430107527,,,0,2.34128913438673,0.000501934235976789,,0.0005,,0.519,,78402,1126.43314847274,,78402,,32.45337156,,,,,,2540473,1034,2068,78280.7109874,,108.063820746842,,27.269065345,,223475.98130447,,,,
2014-02-02,1534,821,518372,631.390986601705,,,0,2.47046833396469,0.000538971807628524,,0.001,,0.65,,114550,1574.77920153611,,114550,,25.46857127,,,,,,2655023,1206,2412,104247.03341187,,95.1850333322388,,24.612683405,,229586.30039736,,,,
2014-02-03,1220,776,641315,826.436855670103,,,0,4.46853320161379,0.00058256880733945,,0,,0.635,,100416,1330.16336053892,,100416,,7.97981805,,,,,,2755439,1090,2179,345300.98086116,,207.13863500061,,31.05650517,,451355.08566633,,,,
2014-02-04,1441,644,502944,780.968944099379,,,0,5.99706696194887,0.000504273504273504,,0,,0.531,,79076,1018.26026674757,,79076,,15.21735945,,,,,,2834515,1053,2106,186268.51844401,,107.796896867564,,31.93563491,,227020.26480309,,,,
2014-02-05,1908,817,704425,862.209302325581,,,0,6.9156996722811,0.000377593360995851,,0,,0.637,,97327,1211.67358268283,,97327,,6.16084933,,,,,,2931842,1687,3367,475882.76243841,,173.572934875961,,23.83242554,,584420.07172736,,,,
2014-02-06,2563,820,873214,1064.89512195122,,,0,13.1273555889803,0.000518308631211857,,0,,1.189,,79955,968.975498680688,,79955,,19.69043783,,,,,,3011797,2294,4580,152957.34034333,,91.1046540750502,,19.78816045,,417259.31566373,,,,
2014-02-07,2563,493,774276,1570.53955375254,,,0,17.2741136951722,0.00073945294390357,,0.001,,1.595,,42034,502.398790240848,,42034,,17.35102931,,,,,,3053831,2157,4305,176002.87250133,,63.0539310105691,,11.48348369,,271447.1730005,,,,
2014-02-08,4759,951,1312622,1380.25446898002,2.89181599,373898.487927050722763,129295.3940763184258540443634,18.1572062142352,0.000692730666023166,0.00008268239350200058640302815686,0.001,0.000119357201228963,2.15300691,0.25697687900421783113433,78770,917.801213751767,9401.76674080541551,78770,9401.76674080541551,3.12441046,,0.00017612559906487457,0.119357201228963,,,3132601,3108,6199,1002621.46765497,119670.0922713724720376548961,309.075864711016,36.89043017932848083804435641,12.49297237,1.49112621711396480275231,1915961.28534359,228683.7766816574694677143972,,,
